"","time","proportionDisseminated","mainRun"
"11603",4,0.433333333333333," 83"
"11604",4.1,0.466666666666667," 83"
"11605",4.2,0.466666666666667," 83"
"11606",4.3,0.533333333333333," 83"
"11607",4.4,0.533333333333333," 83"
"11608",4.5,0.533333333333333," 83"
"11609",4.6,0.533333333333333," 83"
"11610",4.7,0.533333333333333," 83"
"11611",4.8,0.533333333333333," 83"
"11612",4.9,0.533333333333333," 83"
"11613",5,0.533333333333333," 83"
"11614",5.1,0.533333333333333," 83"
"11615",5.2,0.533333333333333," 83"
"11616",5.3,0.533333333333333," 83"
"11617",5.4,0.533333333333333," 83"
"11618",5.5,0.533333333333333," 83"
"11619",5.6,0.566666666666667," 83"
"11620",5.7,0.566666666666667," 83"
"11621",5.8,0.566666666666667," 83"
"11622",5.9,0.566666666666667," 83"
"11623",6,0.566666666666667," 83"
"11624",6.1,0.6," 83"
"11625",6.2,0.6," 83"
"11626",6.3,0.6," 83"
"11627",6.4,0.6," 83"
"11628",6.5,0.633333333333333," 83"
"11629",6.6,0.633333333333333," 83"
"11630",6.7,0.633333333333333," 83"
"11631",6.8,0.633333333333333," 83"
"11632",6.9,0.633333333333333," 83"
"11633",7,0.666666666666667," 83"
"11634",7.1,0.666666666666667," 83"
"11635",7.2,0.666666666666667," 83"
"11636",7.3,0.666666666666667," 83"
"11637",7.4,0.7," 83"
"11638",7.5,0.7," 83"
"11639",7.6,0.7," 83"
"11640",7.7,0.7," 83"
"11641",7.8,0.7," 83"
"11642",7.9,0.7," 83"
"11643",8,0.7," 83"
"11644",8.1,0.733333333333333," 83"
"11645",8.2,0.733333333333333," 83"
"11646",8.3,0.733333333333333," 83"
"11647",8.4,0.733333333333333," 83"
"11648",8.5,0.766666666666667," 83"
"11649",8.6,0.766666666666667," 83"
"11650",8.7,0.766666666666667," 83"
"11651",8.8,0.766666666666667," 83"
"11652",8.9,0.766666666666667," 83"
"11653",9,0.8," 83"
"11654",9.1,0.8," 83"
"11655",9.2,0.8," 83"
"11656",9.3,0.8," 83"
"11657",9.4,0.8," 83"
"11658",9.5,0.8," 83"
"11659",9.6,0.8," 83"
"11660",9.7,0.8," 83"
"11661",9.8,0.8," 83"
"11662",9.9,0.8," 83"
"11663",10,0.8," 83"
"11664",10.1,0.8," 83"
"11665",10.2,0.8," 83"
"11666",10.3,0.8," 83"
"11667",10.4,0.8," 83"
"11668",10.5,0.8," 83"
"11669",10.6,0.8," 83"
"11670",10.7,0.8," 83"
"11671",10.8,0.8," 83"
"11672",10.9,0.8," 83"
"11673",11,0.8," 83"
"11674",11.1,0.8," 83"
"11675",11.2,0.8," 83"
"11676",11.3,0.8," 83"
"11677",11.4,0.8," 83"
"11678",11.5,0.8," 83"
"11679",11.6,0.8," 83"
"11680",11.7,0.8," 83"
"11681",11.8,0.8," 83"
"11682",11.9,0.8," 83"
"11683",12,0.8," 83"
"11684",12.1,0.8," 83"
"11685",12.2,0.8," 83"
"11686",12.3,0.8," 83"
"11687",12.4,0.833333333333333," 83"
"11688",12.5,0.866666666666667," 83"
"11689",12.6,0.9," 83"
"11690",12.7,0.9," 83"
"11691",12.8,0.9," 83"
"11692",12.9,0.9," 83"
"11693",13,0.9," 83"
"11694",13.1,0.9," 83"
"11695",13.2,0.9," 83"
"11696",13.3,0.933333333333333," 83"
"11697",13.4,0.933333333333333," 83"
"11698",13.5,0.933333333333333," 83"
"11699",13.6,0.933333333333333," 83"
"11700",13.7,0.933333333333333," 83"
"11701",13.8,0.933333333333333," 83"
"11702",13.9,0.933333333333333," 83"
"11703",14,0.933333333333333," 83"
"11704",0,0," 84"
"11705",0.1,0," 84"
"11706",0.2,0," 84"
"11707",0.3,0," 84"
"11708",0.4,0," 84"
"11709",0.5,0," 84"
"11710",0.6,0," 84"
"11711",0.7,0.0333333333333333," 84"
"11712",0.8,0.0333333333333333," 84"
"11713",0.9,0.0333333333333333," 84"
"11714",1,0.0333333333333333," 84"
"11715",1.1,0.0333333333333333," 84"
"11716",1.2,0.0333333333333333," 84"
"11717",1.3,0.0333333333333333," 84"
"11718",1.4,0.0333333333333333," 84"
"11719",1.5,0.0666666666666667," 84"
"11720",1.6,0.1," 84"
"11721",1.7,0.133333333333333," 84"
"11722",1.8,0.166666666666667," 84"
"11723",1.9,0.233333333333333," 84"
"11724",2,0.233333333333333," 84"
"11725",2.1,0.233333333333333," 84"
"11726",2.2,0.233333333333333," 84"
"11727",2.3,0.233333333333333," 84"
"11728",2.4,0.233333333333333," 84"
"11729",2.5,0.266666666666667," 84"
"11730",2.6,0.3," 84"
"11731",2.7,0.3," 84"
"11732",2.8,0.3," 84"
"11733",2.9,0.3," 84"
"11734",3,0.3," 84"
"11735",3.1,0.333333333333333," 84"
"11736",3.2,0.333333333333333," 84"
"11737",3.3,0.333333333333333," 84"
"11738",3.4,0.333333333333333," 84"
"11739",3.5,0.333333333333333," 84"
"11740",3.6,0.333333333333333," 84"
"11741",3.7,0.333333333333333," 84"
"11742",3.8,0.366666666666667," 84"
"11743",3.9,0.366666666666667," 84"
"11744",4,0.4," 84"
"11745",4.1,0.466666666666667," 84"
"11746",4.2,0.466666666666667," 84"
"11747",4.3,0.466666666666667," 84"
"11748",4.4,0.466666666666667," 84"
"11749",4.5,0.466666666666667," 84"
"11750",4.6,0.466666666666667," 84"
"11751",4.7,0.466666666666667," 84"
"11752",4.8,0.466666666666667," 84"
"11753",4.9,0.466666666666667," 84"
"11754",5,0.466666666666667," 84"
"11755",5.1,0.466666666666667," 84"
"11756",5.2,0.466666666666667," 84"
"11757",5.3,0.466666666666667," 84"
"11758",5.4,0.466666666666667," 84"
"11759",5.5,0.466666666666667," 84"
"11760",5.6,0.466666666666667," 84"
"11761",5.7,0.466666666666667," 84"
"11762",5.8,0.466666666666667," 84"
"11763",5.9,0.466666666666667," 84"
"11764",6,0.466666666666667," 84"
"11765",6.1,0.466666666666667," 84"
"11766",6.2,0.466666666666667," 84"
"11767",6.3,0.466666666666667," 84"
"11768",6.4,0.466666666666667," 84"
"11769",6.5,0.466666666666667," 84"
"11770",6.6,0.5," 84"
"11771",6.7,0.5," 84"
"11772",6.8,0.5," 84"
"11773",6.9,0.533333333333333," 84"
"11774",7,0.533333333333333," 84"
"11775",7.1,0.533333333333333," 84"
"11776",7.2,0.6," 84"
